disposition,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_insol,pl_eqt,st_teff,st_rad,st_mass,st_met,st_logg
CANDIDATE,6.79143,,1.72,,,,,0.609,,,
CANDIDATE,14.353347,,2.19,,,,5162.0,0.79,,,
CANDIDATE,14.3533,,2.18,,,,,0.855,,,
CANDIDATE,14.353438,,2.159584,,,,5317.0,0.82797,,0.04,4.59
CANDIDATE,1.88282,,2.6,,,,,0.257,,,
CANDIDATE,6.4756,,1.85,,,,,1.339,,,
CANDIDATE,2.3181466,,2.9,,,,4343.0,0.67,,,
CANDIDATE,2.31803,,2.34,,,,,0.589,,,
CANDIDATE,6.37733,,0.76,,,,,0.262,,,
CANDIDATE,0.80032756,,21.3,,,,4028.0,0.61,,,
CANDIDATE,8.3958,,3.95,,,,,1.996,,,
CANDIDATE,12.26422,,2.22,,,,,0.7596,,,
CANDIDATE,12.263354,,2.16,,,,4980.0,0.76,,,
CANDIDATE,12.2631,,1.87,,,,5106.0,0.717,,,4.603
CANDIDATE,12.25823207,,,,,,5038.0,0.758844,0.839,,4.60153
CANDIDATE,10.3631,,1.64,,,,,0.613,,,
CONFIRMED,4.50756,,1.7,,,,,,0.928,,
CONFIRMED,4.50717,,1.44,,,,,0.823,,,
CONFIRMED,0.9116567,,1.35,,,,5648.0,0.94,,,
CONFIRMED,0.911618,,1.16,,,,,0.823,,,
CONFIRMED,0.911724,,1.4,,,,5724.0,1.1,,-0.22,4.5
CONFIRMED,14.641541,,2.94,,,,5648.0,0.94,,,
CONFIRMED,14.637,,4.0,,,,6438.0,1.5,,,4.2
CONFIRMED,14.6435,,2.52,,,,,0.823,,,
CONFIRMED,14.647531,,2.6,,,,5724.0,1.1,,-0.22,4.5
CANDIDATE,9.3826,,2.39,,,,6377.0,1.38,,,4.223
CANDIDATE,9.38053,,2.89,,,,,1.412,,,
CANDIDATE,9.3813402,,2.86,,,,6305.0,1.39,,,
CANDIDATE,5.6505,,1.33,,,,,1.012,,,
CANDIDATE,4.2304959,,2.56,,,,4335.0,0.67,,,
CANDIDATE,4.23119,,2.17,,,,,0.516,,,
CANDIDATE,9.9487,,1.48,,,,,1.136,,,
CONFIRMED,2.87814,,1.01,,,,,,0.221,,
CANDIDATE,4.1107634,,1.01,,,,2989.0,0.18,,,
CANDIDATE,1.131305,,3.93,,,,,1.122,,,
